anio,hogar,ingreso,personas_hogar,departamento,ingreso_per_capita,quintil
2010,25717,28733.3333333333,1,1,28733.3333333333,5
2010,65906,83685.5,3,1,27895.166666666668,5
2010,3362,61000.0,1,1,61000.0,5
2010,48536,42405.0,1,1,42405.0,5
2010,53563,138521.0,4,1,34630.25,5
2010,56354,30183.3333333333,1,1,30183.3333333333,5
2010,28708,32035.0,1,1,32035.0,5
2010,15889,28000.0,1,1,28000.0,5
2010,59984,74661.0,2,1,37330.5,5
2010,32655,147666.666666667,4,1,36916.66666666675,5
2010,8435,1037997.16666667,5,1,207599.433333334,5
2010,58911,100158.166666667,3,1,33386.05555555567,5
2010,12578,31330.5,1,1,31330.5,5
2010,65547,38330.5,1,1,38330.5,5
2010,45403,28330.5,1,1,28330.5,5
2010,18924,139319.166666667,5,1,27863.8333333334,5
2010,56584,30613.8333333333,1,1,30613.8333333333,5
2010,7970,126991.5,3,1,42330.5,5
2010,67557,89230.5,3,1,29743.5,5
2010,32170,31821.6666666667,1,1,31821.6666666667,5
2010,20357,62680.5,2,1,31340.25,5
2010,46199,41917.1666666667,1,1,41917.1666666667,5
2010,24239,105970.333333333,3,1,35323.44444444433,5
2010,59926,130911.0,3,1,43637.0,5
2010,9635,64156.6666666667,1,1,64156.6666666667,5
2010,66976,37200.0,1,3,37200.0,5
2010,63113,29330.5,1,3,29330.5,5
2010,12372,110745.5,3,5,36915.166666666664,5
2010,39054,38333.3333333333,1,5,38333.3333333333,5
2010,16677,162007.0,3,6,54002.333333333336,5
2010,54746,64661.0,2,6,32330.5,5
2010,57861,108766.666666667,2,9,54383.3333333335,5
2010,66096,32188.1666666667,1,10,32188.1666666667,5
2010,22925,114640.0,2,11,57320.0,5
2010,7831,120648.5,2,12,60324.25,5
2010,1350,161814.166666667,5,14,32362.8333333334,5
2010,13229,101500.0,1,17,101500.0,5
2010,54341,29966.5,1,18,29966.5,5
2011,2011008422,197024.333333333,2,1,98512.1666666665,5
2011,2011044368,118935.533333333,3,1,39645.177777777666,5
2011,2011065518,61080.5,1,1,61080.5,5
2011,2011054215,29344.75,1,1,29344.75,5
2011,2011061803,149679.0,4,1,37419.75,5
2011,2011059358,159576.46,3,1,53192.15333333333,5
2011,2011033487,131975.02,3,1,43991.67333333333,5
2011,2011063004,224084.496666667,6,1,37347.41611111117,5
2011,2011038697,151498.166666667,4,1,37874.54166666675,5
2011,2011009377,30344.75,1,1,30344.75,5
2011,2011028103,116942.0,4,1,29235.5,5
2011,2011022764,46000.0,1,1,46000.0,5
2011,2011006889,28000.0,1,1,28000.0,5
2011,2011008797,38000.0,1,1,38000.0,5
2011,2011028668,91189.6,3,1,30396.533333333336,5
2011,2011004327,333425.11,7,1,47632.15857142857,5
2011,2011009613,52855.97,1,1,52855.97,5
2011,2011022304,29700.0,1,1,29700.0,5
2011,2011011585,28545.0,1,1,28545.0,5
2011,2011007507,119926.08,3,1,39975.36,5
2011,2011055705,101870.25,3,1,33956.75,5
2011,2011055557,50000.0,1,1,50000.0,5
2011,2011044165,54155.97,1,1,54155.97,5
2011,2011012545,33394.8,1,1,33394.8,5
2011,2011012064,120729.716666667,4,1,30182.42916666675,5
2011,2011069582,72373.75,2,1,36186.875,5
2011,2011033906,88333.3333333333,1,1,88333.3333333333,5
2011,2011029716,31915.36,1,1,31915.36,5
2011,2011043846,157137.0,5,1,31427.4,5
2011,2011030617,152007.4,1,1,152007.4,5
2011,2011005369,34330.5,1,1,34330.5,5
